Ticker,year,Sector,CurrentRatio,QuickRatio,CashRatio,OperatingCashFlowRatio,equityRatio,DebtToEquity,DebtToAssets,InterestCoverage,AssetTurnover,ReceivablesTurnover,GrossMargin,GrossProfitMargin,OperatingMargin,ReturnOnEquity,ReturnOnAssets,EPS,PE,Result
MMM,2019,Industrials,1.406527868141401,1.8548037302103666,0.2551507265235307,0.7666449793970939,0.2253297207729685,3.4316804133956076,0.7732595893324974,13.678571428571429,0.7195861976309367,6.475115857344348,0.46676624346527257,0.14220811550908638,0.19068956933034603,0.45413892477392426,0.1023309971114445,7.920277296360485,15.462842604889651,-0.173408995980945
MMM,2020,Industrials,1.885002516356316,2.4183442375440363,0.5830397584297936,1.0207599396074485,0.27177678269685707,2.6745162042434134,0.7268714092598851,12.896030245746692,0.679790469753295,6.663354037267081,0.48406040268456374,0.1672880934625901,0.21196868008948547,0.4184347555762804,0.11372085163906726,9.321329639889196,19.056294728884193,-0.3275011594693994
MMM,2021,Industrials,1.704814609850581,2.25655783065855,0.5051466519092418,0.8250138350857775,0.3196380013596193,2.123820284460986,0.6788536709721278,15.709016393442623,0.7510834466349422,7.411949685534591,0.4683920237590157,0.16747277612784614,0.21682930278602744,0.3935265186760601,0.12578602991162474,10.226252158894646,17.09228274154212,0.015028599330357143
MMM,2022,Industrials,1.5423711015436312,2.106479050719311,0.3838076236480101,0.5871049039168329,0.31690883650844903,2.1522211656024997,0.6820579054999462,9.380952380952381,0.7368205790549994,7.384897518878101,0.4381372520377458,0.1687750153378714,0.12661778024482165,0.3924059231082733,0.12435690453126681,10.206713780918728,17.28470122271474,-0.020092256937132895
AOS,2019,Industrials,1.9574690150032616,2.352772341813438,0.48793215916503585,0.5951728636660143,0.5450621321124918,0.8346532277417806,0.4549378678875082,42.28181818181818,0.9786461739699149,5.076675148430874,0.39452668159187354,0.12363417649614061,0.15541150131987838,0.22198224142068634,0.1209941137998692,2.2787263136869518,25.85654881634884,0.10576603066425798
AOS,2020,Industrials,1.825566963782015,2.164165632404378,0.6466207830305766,0.6342096355635789,0.5847755244091499,0.7100578910350052,0.41522447559085013,61.35616438356164,0.9160312588983454,4.949230769230769,0.38275826339239455,0.11912409767554312,0.15469899492280592,0.18660390629226858,0.10912139715885721,2.132042491328679,40.26655135781078,-0.3331779575903769
AOS,2021,Industrials,1.5664998212370398,1.9666607079013227,0.39622810153736143,0.5730246692885235,0.5273428505641262,0.8962995306189281,0.47265714943587384,141.74418604651163,1.0185643564356435,5.578341740226986,0.37042583853739863,0.13764164005764504,0.17222865862273587,0.2658552559764218,0.1401968685240617,3.089705478756968,17.742791366923125,0.5694697856802683
AOS,2022,Industrials,1.748769000214087,2.3015414258188827,0.4187540141297367,0.41896810104902593,0.5244725865018156,0.9066773473708303,0.47552741349818445,70.07446808510639,1.126519220958497,6.458878183069511,0.3541916406936786,0.062788033778204,0.17547084365593116,0.13486296275104423,0.07073192689733818,1.5590781578977604,30.55651773987108,0.14193277517674327
ABT,2019,Healthcare,1.4422351100064439,1.83954708644021,0.3553346221117555,0.5648531713154745,0.4579374548882702,1.1768528049408131,0.5389249782727179,6.764179104477612,0.4699574292574425,5.880921658986175,0.585287111334002,0.11556544633901705,0.14205115346038114,0.11859881626351004,0.054310840072473374,2.0919110397531084,52.38272553119063,-0.12061975616590252
ABT,2020,Healthcare,1.7167212564037961,2.137650121777106,0.5742840346014949,0.6635592508608381,0.45189391850912497,1.2062286481210347,0.5450873904173789,9.811355311355312,0.47703589347742187,5.395696913002807,0.566487517337032,0.12988326398520572,0.15479079981507166,0.13710956564177648,0.061958978882946464,2.5377840848716207,55.45783281255139,-0.2125797412123247
ABT,2021,Healthcare,1.8495993895459748,2.2431133155284244,0.7477298740938573,0.803739030904235,0.47611575083781055,1.0941288196190158,0.520931964466195,15.806754221388367,0.5728363210809085,6.640203483890859,0.5696575739988392,0.16415554265815438,0.1955890887986071,0.19750293279705045,0.0940342571413373,4.008316635164856,27.31570577613971,0.28494482846434976
ABT,2022,Healthcare,1.6285105558783652,2.0270514558719093,0.6380011621150494,0.6185680160113629,0.49283967865874956,1.0230878264187973,0.5042182756119187,14.985663082437275,0.58643434804804,4.9153248508050895,0.5614963461846838,0.15882069960827436,0.19155613588985865,0.18898217303603554,0.09313791343131196,3.9895384186395364,21.77194238925803,0.2600511912352208
ABBV,2019,Healthcare,3.177350016041065,3.2936798203400706,2.5616939364773823,0.8549246069939044,-0.09170173371486282,-11.904919236417033,1.091701733714863,7.493273542600897,0.37329293609381137,6.1285924834193075,0.7763782841339506,0.23693861600432875,0.401851740515842,-0.9645129711209006,0.08844751164226,5.329595586027042,30.467603453540647,-0.05772783468191343
ABBV,2020,Healthcare,0.8434109068071596,0.9588988520986707,0.2947908307456125,0.6136561878510869,0.08684621259920965,10.513000917711839,0.9130143127552884,5.118581907090465,0.30421412678909443,5.192019950124688,0.6640686402934242,0.10077722469653305,0.27423369138066545,0.3530131538696849,0.030657855411284164,2.615100660025743,51.77620730482761,0.19348642079369138
ABBV,2021,Healthcare,0.7935443541512758,0.8824231403080071,0.2769222026481787,0.6471841791214411,0.10515324611510349,8.50811266874351,0.8946556654314163,7.794469665703673,0.3835213507223826,5.632655106745514,0.6895563820132747,0.2053846290727263,0.336067761624286,0.7490913811007269,0.07876939035958752,6.527033849986988,16.416339180789222,0.2632953303877331
